alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.10, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.20, sign_w[1]: 0.80, precision: 0.10, auc: 3.00, recall: 0.10, f1: 0.10 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.20, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.20, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.30, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.30, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.30, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.30, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.30, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.30, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.30, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.30, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.30, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.30, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.40, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.40, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.40, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.40, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.40, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.40, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.40, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.40, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.40, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.40, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.50, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.50, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.50, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.50, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.50, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.50, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.50, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.50, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.50, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.50, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.60, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.60, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.60, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.60, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.60, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.60, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.60, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.60, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.60, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.60, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.70, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.70, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.70, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.70, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.70, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.70, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.70, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.70, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.70, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.70, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.80, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.80, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.80, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.80, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.80, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.80, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.80, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.80, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.80, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.80, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.90, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.90, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.90, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.90, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.90, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.90, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.90, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.90, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.90, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 0.90, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 1.00, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 1.00, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 1.00, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 1.00, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 1.00, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 1.00, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 1.00, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 1.00, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 1.00, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.10, sign_w[0]: 1.00, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.10, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.10, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.10, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.10, sign_w[1]: 0.40, precision: 0.05, auc: 3.00, recall: 0.10, f1: 0.07 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.10, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.10, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.10, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.10, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.10, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.10, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.20, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.20, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.20, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.20, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.20, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.20, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.20, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.20, sign_w[1]: 0.80, precision: 0.05, auc: 3.00, recall: 0.10, f1: 0.07 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.20, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.20, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.30, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.30, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.30, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.30, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.30, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.30, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.30, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.30, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.30, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.30, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.40, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.40, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.40, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.40, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.40, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.40, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.40, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.40, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.40, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.40, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.50, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.50, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.50, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.50, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.50, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.50, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.50, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.50, sign_w[1]: 0.80, precision: 0.05, auc: 3.00, recall: 0.10, f1: 0.07 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.50, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.50, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.60, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.60, sign_w[1]: 0.20, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.60, sign_w[1]: 0.30, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.60, sign_w[1]: 0.40, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.60, sign_w[1]: 0.50, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.60, sign_w[1]: 0.60, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.60, sign_w[1]: 0.70, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.60, sign_w[1]: 0.80, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.60, sign_w[1]: 0.90, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.60, sign_w[1]: 1.00, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
alpha: 0.10, beta: 0.10,w[0]: 0.20, sign_w[0]: 0.70, sign_w[1]: 0.10, precision: 0.00, auc: 3.00, recall: 0.00, f1: 0.00 
